Neighbourhood,Latitude,Longitude
Ashok Rajpath,25.623740000000055,85.12997000000007
Badalpura,25.57955000000004,85.14967000000007
"Bailey Road, Patna",25.60978088589063,85.12355592308616
Bakhtiarpur,25.46064000000007,85.53914000000003
Bankipore,25.61886000000004,85.15568000000007
Barh,25.46497000000005,85.70828000000006
Beer Chand Patel Path,25.606160000000045,85.12250000000006
Bhootnath Road,25.600348323046713,85.17543527923095
Bihta,25.56194000000005,84.86305000000004
Boring Road,25.62570995343536,85.11039552862357
Buddha Colony,25.62101000000007,85.12653000000006
"Dak Bungalow Crossing, Patna",25.610940021281564,85.13090028193753
Danapur,25.621120000000076,85.04452000000003
"Digha, Patna",25.640540000000044,85.09963000000005
Dinapur Cantonment,25.636960000000045,85.01285000000007
"Exhibition Road, Patna",25.608480000000043,85.14199000000008
Fatuha,25.508150000000057,85.30690000000004
Frazer Road,25.612320000000068,85.13880000000006
"Gaighat, Patna",25.61230000000006,85.20228000000003
Gandhi Maidan Marg,25.616460000000075,85.14851000000004
Gulzarbagh,25.606190000000026,85.20052000000004
"Indrapuri, Patna",25.582190000000026,85.12629000000004
Kankarbagh,25.592550000000074,85.14625000000007
Khagaul,25.58418000000006,85.04353000000003
Khusrupur,25.482170000000053,85.38468000000006
Kidwaipuri,25.614320000000077,85.12703000000005
Kumhrar,25.59821000000005,85.19250000000005
Masaurhi,25.359270000000038,85.03980000000007
Mokama,25.383120000000076,85.90965000000006
New Karbigahiya,25.59817000000004,85.13953000000004
Nohsa,25.57063000000005,85.05978000000005
Paliganj,25.325630000000046,84.80500000000006
Pataliputra,25.601290000000063,85.13751000000008
Pataliputra Housing Colony,25.60056000000003,85.18273000000005
Patna City,25.597680000000025,85.22478000000007
Phulwari Sharif,25.57618000000008,85.06747000000007
"Rajendra Nagar, Patna",25.60719000000006,85.16530000000006
Saidpura,25.467170000000067,85.43045000000006
Serpentine Road,25.601290000000063,85.13751000000008
Maner Sharif,25.647280000000023,84.87418000000008
"Shivpuri, Patna",25.582390000000032,85.10094000000004
